0.0,0.0
1.0,0.0
2,0.51016
3,0.03537
4,-0.44809
5,-0.82184
6,-0.99437
7,-0.92345
8,-0.62643
9,-0.17605
10,0.31744
11,0.73321
12,0.96946
13,0.96836
14,0.73016
15,0.31320
16,-0.18045
17,-0.62991
18,-0.92515
19,-0.99389
20,-0.81928
21,-0.44409
22,0.03984
23,0.51400
24,0.86233
25,0.99952
26,0.89200
27,0.56608
28,0.10157
29,-0.38781
30,-0.78224
31,-0.98515
32,-0.94686
33,-0.67675
34,-0.24094
35,0.25385
36,0.68650
37,0.95106
38,0.98278
39,0.77387
40,0.37550
41,-0.11481
42,-0.57701
43,-0.89794
44,-0.99902
45,-0.85550
46,-0.50253
47,-0.02652
48,0.45598
49,0.82685
50,0.99527
51,0.92001
52,0.61951
53,0.16733
54,-0.32582
55,-0.73920
56,-0.97160
57,-0.96611
58,-0.72409
59,-0.30478
60,0.18914
61,0.63676
62,0.92848
63,0.99287
64,0.81417
65,0.43614
66,-0.04868
67,-0.52158
68,-0.86677
69,-0.99976
70,-0.88796
71,-0.55876
72,-0.09276
73,0.39595
74,0.78772
75,0.98663
76,0.94398
77,0.67021
78,0.23234
79,-0.26240
80,-0.69291
81,-0.95376
82,-0.98110
83,-0.76824
84,-0.36728
85,0.12360
86,0.58422
87,0.90180
88,0.99859
89,0.85089
90,0.49486
91,0.01767
92,-0.46384
93,-0.83179
94,-0.99609
95,-0.91651
96,-0.61254
97,-0.15859
98,0.33418
99,0.74513
100,0.97365
101,0.96379
102,0.71795
103,0.29634
104,-0.19783
105,-0.64356
106,-0.93173
107,-0.99177
108,-0.80900
109,-0.42816
110,0.05752
111,0.52911
112,0.87115
113,0.99991
114,0.88386
115,0.55140
116,0.08394
117,-0.40407
118,-0.79315
119,-0.98804
120,-0.94102
121,-0.66361
122,-0.22373
123,0.27093
124,0.69926
125,0.95638
126,0.97935
127,0.76254
128,0.35903
129,-0.13238
130,-0.59138
131,-0.90559
132,-0.99808
133,-0.84620
134,-0.48715
135,-0.00882
136,0.47167
137,0.83667
138,0.99683
139,0.91293
140,0.60552
141,0.14985
142,-0.34251
143,-0.75101
144,-0.97563
145,-0.96139
146,-0.71176
147,-0.28787
148,0.20650
149,0.65031
150,0.93491
151,0.99060
152,0.80377
153,0.42014
154,-0.06635
155,-0.53660
156,-0.87547
157,-0.99999
158,-0.87968
159,-0.54400
160,-0.07512
161,0.41215
162,0.79851
163,0.98936
164,0.93799
165,0.65696
166,0.21509
167,-0.27944
168,-0.70556
169,-0.95893
170,-0.97752
171,-0.75678
172,-0.35075
173,0.14115
174,0.59850
175,0.90931
176,0.99749
177,0.84145
178,0.47940
179,-0.00003
180,-0.47945
181,-0.84149
182,-0.99750
183,-0.90928
184,-0.59845
185,-0.14109
186,0.35081
187,0.75682
188,0.97754
189,0.95892
190,0.70552
191,0.27939
192,-0.21515
193,-0.65701
194,-0.93801
195,-0.98935
196,-0.79847
197,-0.41209
198,0.07518
199,0.54405
200,0.87971
201,0.99999
202,0.87544
203,0.53655
204,0.06629
205,-0.42019
206,-0.80380
207,-0.99061
208,-0.93488
209,-0.65026
210,-0.20644
211,0.28793
212,0.71181
213,0.96141
214,0.97562
215,0.75097
216,0.34245
217,-0.14991
218,-0.60556
219,-0.91296
220,-0.99683
221,-0.83664
222,-0.47161
223,0.00888
224,0.48720
225,0.84624
226,0.99808
227,0.90557
228,0.59133
229,0.13232
230,-0.35909
231,-0.76258
232,-0.97936
233,-0.95637
234,-0.69922
235,-0.27088
236,0.22379
237,0.66366
238,0.94104
239,0.98803
240,0.79311
241,0.40401
242,-0.08400
243,-0.55145
244,-0.88388
245,-0.99991
246,-0.87113
247,-0.52906
248,-0.05746
249,0.42821
250,0.80904
